id,name,scientific,order,family,genus,species,image,paragraph
myid,Abelia,none,Dipsacales,Caprifoliaceae,Abelia',none,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Abelia_mosanensis_2015-05-29_OB_338.jpg/220px-Abelia_mosanensis_2015-05-29_OB_338.jpg,"<p>See text
</p>"
myid,Abeliophyllum,Abeliophyllum distichum,Lamiales,Oleaceae,Abeliophyllum,<b>A. distichum</b>,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Abeliophyllum-distichum.jpg/220px-Abeliophyllum-distichum.jpg,"<p><i><b>Abeliophyllum</b></i> (<b>white forsythia</b>, or <b>Korean abelialeaf</b>) is a <a class=""mw-redirect"" href=""/wiki/Monotype_(biology)"" title=""Monotype (biology)"">monotypic</a> genus of <a href=""/wiki/Flowering_plant"" title=""Flowering plant"">flowering plants</a> in the <a href=""/wiki/Olive"" title=""Olive"">olive</a> family, <a href=""/wiki/Oleaceae"" title=""Oleaceae"">Oleaceae</a>. It consists of one species, <i><b>Abeliophyllum distichum</b></i> Nakai, <a href=""/wiki/Endemism"" title=""Endemism"">endemic</a> to <a href=""/wiki/Korea"" title=""Korea"">Korea</a>, where it is <a href=""/wiki/Endangered_species"" title=""Endangered species"">endangered</a> in the wild, occurring at only seven sites. It is related to <i><a href=""/wiki/Forsythia"" title=""Forsythia"">Forsythia</a></i>, but differs in having white, not yellow, flowers.
</p>"
myid,Abelmoschus,none,Malvales,Malvaceae,Abelmoschus,none,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Abelmoschus_esculentus.jpg/220px-Abelmoschus_esculentus.jpg,"<p>See text.
</p>"
myid,Abies,none,Pinales,Pinaceae,Abies,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Abies_koreana_%28szyszki%29.JPG/220px-Abies_koreana_%28szyszki%29.JPG,"<p>See text
</p>"
myid,Abroma,none,Malvales,Sterculiaceae,Abroma,none,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Abroma_augustum_Blanco2.425b.jpg/220px-Abroma_augustum_Blanco2.425b.jpg,"<p>See text.
</p>"
myid,Abromeitiella,none,Poales,Bromeliaceae,Deuterocohnia,none,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Deuterocohnia_lorentziana_BotGardBln310505a.jpg/220px-Deuterocohnia_lorentziana_BotGardBln310505a.jpg,"<p><i><b>Deuterocohnia</b></i> is a <a class=""mw-redirect"" href=""/wiki/Genus_(biology)"" title=""Genus (biology)"">genus</a> of the <a href=""/wiki/Botany"" title=""Botany"">botanical</a> <a href=""/wiki/Family_(biology)"" title=""Family (biology)"">family</a> <a href=""/wiki/Bromeliaceae"" title=""Bromeliaceae"">Bromeliaceae</a>, subfamily <a href=""/wiki/Tillandsioideae"" title=""Tillandsioideae"">Tillandsioideae</a>, <a class=""mw-redirect"" href=""/wiki/Endemic"" title=""Endemic"">endemic</a> to <a href=""/wiki/South_America"" title=""South America"">South America</a>.<sup class=""reference"" id=""cite_ref-e_1-1""><a href=""#cite_note-e-1"">[1]</a></sup> The genus is named for <a class=""mw-redirect"" href=""/wiki/Ferdinand_Julius_Cohn"" title=""Ferdinand Julius Cohn"">Ferdinand Julius Cohn</a>, Jewish botanist and bacteriologist.<sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2"">[2]</a></sup>
</p>"
myid,Abrus,none,Fabales,Fabaceae,Abrus,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Abrus_precatorius1SHSU.jpg/220px-Abrus_precatorius1SHSU.jpg,"<p>See text.
</p>"
myid,Abutilon,none,Malvales,Malvaceae,Abutilon,none,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Abutilon-3.jpg/220px-Abutilon-3.jpg,"<p>about 200, see text
</p>"
myid,Acacia,none,Fabales,Fabaceae,Acacia,none,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Acacia_plicata.jpg/220px-Acacia_plicata.jpg,"<p>some 980 species
</p>"
myid,Acaena,none,Rosales,Rosaceae,Acaena,none,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Acaena_novae-zelandiae1.jpg/220px-Acaena_novae-zelandiae1.jpg,"<p>See text.
</p>"
myid,Acalypha,none,Malpighiales,Euphorbiaceae,Acalypha,none,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Acalypha_Hispida_DS.jpg/220px-Acalypha_Hispida_DS.jpg,"<p>450-462, see text
</p>"
